"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"425","chef_menage","group_pop","pop_local","oui",0.771428571428571,NA,0.741229422921937,0.801627719935206,"admin1","nord"
"141","chef_menage","group_pop","pdi","non",0.19774011299435,NA,0.148430109228755,0.247050116759946,"admin1","boucle_du_mouhoun"
"239","chef_menage","group_pop","pdi","oui",0.80225988700565,NA,0.752949883240054,0.851569890771245,"admin1","boucle_du_mouhoun"
"328","chef_menage","group_pop","pop_local","non",0.313142857142857,NA,0.28731923378948,0.338966480496234,"admin1","boucle_du_mouhoun"
"426","chef_menage","group_pop","pop_local","oui",0.686857142857143,NA,0.661033519503766,0.71268076621052,"admin1","boucle_du_mouhoun"
"142","chef_menage","group_pop","pdi","non",0.309090909090909,NA,0.2057006209534,0.412481197228418,"admin1","hauts_bassins"
"240","chef_menage","group_pop","pdi","oui",0.690909090909091,NA,0.587518802771582,0.7942993790466,"admin1","hauts_bassins"
"329","chef_menage","group_pop","pop_local","non",0.545454545454545,NA,0.466681230753241,0.62422786015585,"admin1","hauts_bassins"
"427","chef_menage","group_pop","pop_local","oui",0.454545454545455,NA,0.37577213984415,0.533318769246759,"admin1","hauts_bassins"
"143","chef_menage","group_pop","pdi","non",0.270547945205479,NA,0.227723944602693,0.313371945808266,"admin1","est"
"241","chef_menage","group_pop","pdi","oui",0.729452054794521,NA,0.686628054191734,0.772276055397307,"admin1","est"
"330","chef_menage","group_pop","pop_local","non",0.251808972503618,NA,0.224609468099716,0.27900847690752,"admin1","est"
"428","chef_menage","group_pop","pop_local","oui",0.748191027496382,NA,0.72099152309248,0.775390531900284,"admin1","est"
"144","chef_menage","group_pop","pdi","non",0.196078431372549,NA,0.103721456312465,0.288435406432633,"admin1","cascades"
"242","chef_menage","group_pop","pdi","oui",0.803921568627451,NA,0.711564593567367,0.896278543687535,"admin1","cascades"
"331","chef_menage","group_pop","pop_local","non",0.329787234042553,NA,0.249232257189668,0.410342210895438,"admin1","cascades"
"429","chef_menage","group_pop","pop_local","oui",0.670212765957447,NA,0.589657789104562,0.750767742810332,"admin1","cascades"
"145","chef_menage","group_pop","pdi","non",0.322916666666667,NA,0.243910203725355,0.401923129607978,"admin1","plateau_central"
"243","chef_menage","group_pop","pdi","oui",0.677083333333333,NA,0.598076870392022,0.756089796274645,"admin1","plateau_central"
"332","chef_menage","group_pop","pop_local","non",0.261904761904762,NA,0.197060049257557,0.326749474551967,"admin1","plateau_central"
"430","chef_menage","group_pop","pop_local","oui",0.738095238095238,NA,0.673250525448033,0.802939950742443,"admin1","plateau_central"
"146","chef_menage","group_pop","pop_local","non",0.147286821705426,NA,0.0957632804582432,0.198810362952609,"admin1","centre_sud"
"244","chef_menage","group_pop","pop_local","oui",0.852713178294574,NA,0.801189637047391,0.904236719541757,"admin1","centre_sud"
"147","chef_menage","group_pop","pop_local","non",0.341666666666667,NA,0.270154818191412,0.413178515141921,"admin1","sud_ouest"
"245","chef_menage","group_pop","pop_local","oui",0.658333333333333,NA,0.586821484858079,0.729845181808588,"admin1","sud_ouest"
"148","chef_menage","group_pop","pop_local","non",0.423728813559322,NA,0.348585251691958,0.498872375426686,"admin1","centre"
"246","chef_menage","group_pop","pop_local","oui",0.576271186440678,NA,0.501127624573314,0.651414748308042,"admin1","centre"
"149","genre_chef_menage","group_pop","pdi","homme",1,NA,1,1,"admin1","centre_est"
"247","genre_chef_menage","group_pop","pop_local","femme",0.024390243902439,NA,-0.0159155648217275,0.0646960526266055,"admin1","centre_est"
"333","genre_chef_menage","group_pop","pop_local","homme",0.975609756097561,NA,0.935303947373394,1.01591556482173,"admin1","centre_est"
"150","genre_chef_menage","group_pop","pdi","femme",0.0526315789473684,NA,0.014716823059304,0.0905463348354328,"admin1","sahel"
"248","genre_chef_menage","group_pop","pdi","homme",0.947368421052632,NA,0.909453665164567,0.985283176940696,"admin1","sahel"
"334","genre_chef_menage","group_pop","pop_local","femme",0.0359712230215827,NA,0.00983140160811423,0.0621110444350512,"admin1","sahel"
"431","genre_chef_menage","group_pop","pop_local","homme",0.964028776978417,NA,0.937888955564949,0.990168598391886,"admin1","sahel"
"151","genre_chef_menage","group_pop","pdi","homme",1,NA,1,1,"admin1","centre_nord"
"249","genre_chef_menage","group_pop","pop_local","femme",0.00806451612903226,NA,-0.00525085904285001,0.0213798913009145,"admin1","centre_nord"
"335","genre_chef_menage","group_pop","pop_local","homme",0.991935483870968,NA,0.978620108699085,1.00525085904285,"admin1","centre_nord"
"dependent.var3","genre_chef_menage","group_pop","pop_local","homme",1,NA,NA,NA,"admin1","centre_ouest"
